,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
45,2019-06-17,17.04386330567003,-34.88334392948714,48.451130432837175,17.04386330567003,17.04386330567003,-12.510369205887741,-12.510369205887741,-12.510369205887741,0.6688321581619032,0.6688321581619032,0.6688321581619032,-13.179201364049645,-13.179201364049645,-13.179201364049645,0.0,0.0,0.0,4.533494099782288
46,2019-06-18,17.053015673924737,-34.70098935719395,43.79201671476202,17.053015673924737,17.053015673924737,-13.27704471689257,-13.27704471689257,-13.27704471689257,-0.29383874748928973,-0.29383874748928973,-0.29383874748928973,-12.98320596940328,-12.98320596940328,-12.98320596940328,0.0,0.0,0.0,3.7759709570321665
47,2019-06-19,17.06216804217945,-37.58123556754835,44.350965877718764,17.06216804217945,17.06216804217945,-12.778524929870056,-12.778524929870056,-12.778524929870056,-0.00013406072797949,-0.00013406072797949,-0.00013406072797949,-12.778390869142077,-12.778390869142077,-12.778390869142077,0.0,0.0,0.0,4.283643112309395
48,2019-06-20,17.07132041043416,-36.52885153568447,42.557115104070085,17.07132041043416,17.07132041043416,-13.190564939640211,-13.190564939640211,-13.190564939640211,-0.6361153161242469,-0.6361153161242469,-0.6361153161242469,-12.554449623515964,-12.554449623515964,-12.554449623515964,0.0,0.0,0.0,3.8807554707939502
49,2019-06-21,17.080472778688875,-37.96304052013643,45.0602459653164,17.080472778688875,17.080472778688875,-13.43957831041786,-13.43957831041786,-13.43957831041786,-1.1376209723651522,-1.1376209723651522,-1.1376209723651522,-12.30195733805271,-12.30195733805271,-12.30195733805271,0.0,0.0,0.0,3.640894468271016
50,2019-06-24,17.107929883453007,-35.94204219992756,46.80078746508376,17.107929883453007,17.107929883453007,-10.628796255609991,-10.628796255609991,-10.628796255609991,0.668832158160984,0.668832158160984,0.668832158160984,-11.297628413770976,-11.297628413770976,-11.297628413770976,0.0,0.0,0.0,6.479133627843016
51,2019-06-25,17.117082251707718,-35.96441459905442,47.149621498786665,17.117082251707718,17.117082251707718,-11.156868374986058,-11.156868374986058,-11.156868374986058,-0.29383874749093514,-0.29383874749093514,-0.29383874749093514,-10.863029627495123,-10.863029627495123,-10.863029627495123,0.0,0.0,0.0,5.96021387672166
52,2019-06-26,17.126234619962432,-33.771144915070224,47.535474831938394,17.126234619962432,17.126234619962432,-10.374172700047161,-10.374172700047161,-10.374172700047161,-0.00013406073083132908,-0.00013406073083132908,-0.00013406073083132908,-10.374038639316332,-10.374038639316332,-10.374038639316332,0.0,0.0,0.0,6.7520619199152705
53,2019-06-27,17.13538698821714,-32.90479133438501,48.05088902411895,17.13538698821714,17.13538698821714,-10.466781882156171,-10.466781882156171,-10.466781882156171,-0.636115316120077,-0.636115316120077,-0.636115316120077,-9.830666566036095,-9.830666566036095,-9.830666566036095,0.0,0.0,0.0,6.6686051060609675
54,2019-06-28,17.144539356471853,-33.77923394335559,46.278417690273635,17.144539356471853,17.144539356471853,-10.372325800919699,-10.372325800919699,-10.372325800919699,-1.137620972366484,-1.137620972366484,-1.137620972366484,-9.234704828553214,-9.234704828553214,-9.234704828553214,0.0,0.0,0.0,6.772213555552154
55,2019-07-01,17.171996461235985,-28.539324797862857,49.34937123767268,17.171996461235985,17.171996461235985,-6.504921118331225,-6.504921118331225,-6.504921118331225,0.6688321581613219,0.6688321581613219,0.6688321581613219,-7.173753276492548,-7.173753276492548,-7.173753276492548,0.0,0.0,0.0,10.66707534290476
56,2019-07-02,17.181148829490695,-29.92803950659659,50.898730737252656,17.181148829490695,17.181148829490695,-6.710778334777749,-6.710778334777749,-6.710778334777749,-0.2938387474904791,-0.2938387474904791,-0.2938387474904791,-6.41693958728727,-6.41693958728727,-6.41693958728727,0.0,0.0,0.0,10.470370494712945
57,2019-07-03,17.19030119774541,-29.43226542290576,52.31640062144638,17.19030119774541,17.19030119774541,-5.638702326979065,-5.638702326979065,-5.638702326979065,-0.00013406072901501922,-0.00013406072901501922,-0.00013406072901501922,-5.638568266250049,-5.638568266250049,-5.638568266250049,0.0,0.0,0.0,11.551598870766345
58,2019-07-05,17.20860593425483,-28.78132395820847,51.93755293935093,17.20860593425483,17.20860593425483,-5.191670708172728,-5.191670708172728,-5.191670708172728,-1.1376209723664463,-1.1376209723664463,-1.1376209723664463,-4.054049735806282,-4.054049735806282,-4.054049735806282,0.0,0.0,0.0,12.016935226082103
59,2019-07-08,17.236063039018966,-25.04468217431832,55.93529532923686,17.236063039018966,17.236063039018966,-1.0806709909465755,-1.0806709909465755,-1.0806709909465755,0.6688321581608886,0.6688321581608886,0.6688321581608886,-1.7495031491074642,-1.7495031491074642,-1.7495031491074642,0.0,0.0,0.0,16.15539204807239
60,2019-07-09,17.245215407273673,-23.80471442916737,56.212093638757096,17.245215407273673,17.245215407273673,-1.3299562039673003,-1.3299562039673003,-1.3299562039673003,-0.29383874748996847,-0.29383874748996847,-0.29383874748996847,-1.0361174564773317,-1.0361174564773317,-1.0361174564773317,0.0,0.0,0.0,15.915259203306372
61,2019-07-10,17.254367775528387,-23.25235593654422,59.26618081092262,17.254367775528387,17.254367775528387,-0.3629495879553642,-0.3629495879553642,-0.3629495879553642,-0.0001340607298261919,-0.0001340607298261919,-0.0001340607298261919,-0.362815527225538,-0.362815527225538,-0.362815527225538,0.0,0.0,0.0,16.891418187573024
